ym,category,role,cases_pending
2013-04,Admiralty,Defendant,38
2013-05,Admiralty,Defendant,36
2013-06,Admiralty,Defendant,38
2013-07,Admiralty,Defendant,38
2013-08,Admiralty,Defendant,38
2013-09,Admiralty,Defendant,37
2013-10,Admiralty,Defendant,37
2013-11,Admiralty,Defendant,36
2013-12,Admiralty,Defendant,40
2014-01,Admiralty,Defendant,41
2014-02,Admiralty,Defendant,39
2014-03,Admiralty,Defendant,38
2014-04,Admiralty,Defendant,35
2014-05,Admiralty,Defendant,32
2014-06,Admiralty,Defendant,30
2014-07,Admiralty,Defendant,28
2014-08,Admiralty,Defendant,26
2014-09,Admiralty,Defendant,29
2014-10,Admiralty,Defendant,23
2014-11,Admiralty,Defendant,28
2014-12,Admiralty,Defendant,29
2015-01,Admiralty,Defendant,29
2015-02,Admiralty,Defendant,27
2015-03,Admiralty,Defendant,28
2015-04,Admiralty,Defendant,27
2015-05,Admiralty,Defendant,27
2015-06,Admiralty,Defendant,26
2015-07,Admiralty,Defendant,26
2015-08,Admiralty,Defendant,28
2015-09,Admiralty,Defendant,29
2015-10,Admiralty,Defendant,30
2015-11,Admiralty,Defendant,27
2015-12,Admiralty,Defendant,24
2016-01,Admiralty,Defendant,23
2016-02,Admiralty,Defendant,24
2016-03,Admiralty,Defendant,23
2016-04,Admiralty,Defendant,23
2016-05,Admiralty,Defendant,22
2016-06,Admiralty,Defendant,23
2016-07,Admiralty,Defendant,23
2016-08,Admiralty,Defendant,24
2016-09,Admiralty,Defendant,23
2016-10,Admiralty,Defendant,20
2016-11,Admiralty,Defendant,18
2016-12,Admiralty,Defendant,17
2017-01,Admiralty,Defendant,19
2017-02,Admiralty,Defendant,18
2017-03,Admiralty,Defendant,21
2017-04,Admiralty,Defendant,21
2017-05,Admiralty,Defendant,20
2017-06,Admiralty,Defendant,21
2017-07,Admiralty,Defendant,24
2017-08,Admiralty,Defendant,24
2017-09,Admiralty,Defendant,24
2017-10,Admiralty,Defendant,22
2017-11,Admiralty,Defendant,22
2017-12,Admiralty,Defendant,22
2018-01,Admiralty,Defendant,23
2018-02,Admiralty,Defendant,21
2018-03,Admiralty,Defendant,22
2018-04,Admiralty,Defendant,22
2018-05,Admiralty,Defendant,19
2018-06,Admiralty,Defendant,18
2018-07,Admiralty,Defendant,15
2018-08,Admiralty,Defendant,13
2018-09,Admiralty,Defendant,11
2018-10,Admiralty,Defendant,12
2018-11,Admiralty,Defendant,12
2018-12,Admiralty,Defendant,13
2019-01,Admiralty,Defendant,13
2019-02,Admiralty,Defendant,13
2019-03,Admiralty,Defendant,12
2019-04,Admiralty,Defendant,11
2019-05,Admiralty,Defendant,13
2019-06,Admiralty,Defendant,14
2019-07,Admiralty,Defendant,15
2019-08,Admiralty,Defendant,16
2019-09,Admiralty,Defendant,20
2019-10,Admiralty,Defendant,18
2019-11,Admiralty,Defendant,19
2019-12,Admiralty,Defendant,18
2020-01,Admiralty,Defendant,18
2020-02,Admiralty,Defendant,17
2020-03,Admiralty,Defendant,22
2020-04,Admiralty,Defendant,22
2020-05,Admiralty,Defendant,23
2020-06,Admiralty,Defendant,21
2020-07,Admiralty,Defendant,22
2020-08,Admiralty,Defendant,23
2020-09,Admiralty,Defendant,27
2020-10,Admiralty,Defendant,27
2020-11,Admiralty,Defendant,27
2020-12,Admiralty,Defendant,27
2021-01,Admiralty,Defendant,27
2021-02,Admiralty,Defendant,27
2021-03,Admiralty,Defendant,21
2021-04,Admiralty,Defendant,23
2021-05,Admiralty,Defendant,23
2021-06,Admiralty,Defendant,24
2021-07,Admiralty,Defendant,22
2021-08,Admiralty,Defendant,19
2021-09,Admiralty,Defendant,23
2021-10,Admiralty,Defendant,23
2021-11,Admiralty,Defendant,21
2021-12,Admiralty,Defendant,23
2022-01,Admiralty,Defendant,24
2022-02,Admiralty,Defendant,22
2022-03,Admiralty,Defendant,21
2022-04,Admiralty,Defendant,22
2022-05,Admiralty,Defendant,20
2022-06,Admiralty,Defendant,19
2022-07,Admiralty,Defendant,21
2022-08,Admiralty,Defendant,21
2022-09,Admiralty,Defendant,20
2022-10,Admiralty,Defendant,24
2022-11,Admiralty,Defendant,24
2022-12,Admiralty,Defendant,25
2023-01,Admiralty,Defendant,24
2023-02,Admiralty,Defendant,22
2023-03,Admiralty,Defendant,22
2023-04,Admiralty,Defendant,21
2023-05,Admiralty,Defendant,21
2023-06,Admiralty,Defendant,23
2023-07,Admiralty,Defendant,24
2023-08,Admiralty,Defendant,24
2023-09,Admiralty,Defendant,24
2023-10,Admiralty,Defendant,24
2023-11,Admiralty,Defendant,23
2023-12,Admiralty,Defendant,24
2024-01,Admiralty,Defendant,26
2024-02,Admiralty,Defendant,21
2024-03,Admiralty,Defendant,20
2024-04,Admiralty,Defendant,20
2024-05,Admiralty,Defendant,21
2024-06,Admiralty,Defendant,18
2024-07,Admiralty,Defendant,19
2024-08,Admiralty,Defendant,20
2024-09,Admiralty,Defendant,21
2024-10,Admiralty,Defendant,23
2024-11,Admiralty,Defendant,22
2024-12,Admiralty,Defendant,22
2025-01,Admiralty,Defendant,23
2025-02,Admiralty,Defendant,20
2025-03,Admiralty,Defendant,22
2025-04,Admiralty,Defendant,23
2025-05,Admiralty,Defendant,20
2025-06,Admiralty,Defendant,20
2025-07,Admiralty,Defendant,19
2025-08,Admiralty,Defendant,19
2025-09,Admiralty,Defendant,19
2025-10,Admiralty,Defendant,20
2025-11,Admiralty,Defendant,21
2025-12,Admiralty,Defendant,21
2026-01,Admiralty,Defendant,20
2026-02,Admiralty,Defendant,19
2026-03,Admiralty,Defendant,20
2026-04,Admiralty,Defendant,23
2026-05,Admiralty,Defendant,24
2026-06,Admiralty,Defendant,22
2026-07,Admiralty,Defendant,23
1994-10,Asset Forfeiture,Defendant,24
1994-11,Asset Forfeiture,Defendant,23
1994-12,Asset Forfeiture,Defendant,23
1995-01,Asset Forfeiture,Defendant,23
1995-02,Asset Forfeiture,Defendant,22
1995-03,Asset Forfeiture,Defendant,22
1995-04,Asset Forfeiture,Defendant,22
1995-05,Asset Forfeiture,Defendant,22
1995-06,Asset Forfeiture,Defendant,22
1995-07,Asset Forfeiture,Defendant,23
1995-08,Asset Forfeiture,Defendant,23
1995-09,Asset Forfeiture,Defendant,24
1995-10,Asset Forfeiture,Defendant,24
1995-11,Asset Forfeiture,Defendant,25
1995-12,Asset Forfeiture,Defendant,25
1996-01,Asset Forfeiture,Defendant,26
1996-02,Asset Forfeiture,Defendant,26
1996-03,Asset Forfeiture,Defendant,27
1996-04,Asset Forfeiture,Defendant,28
1996-05,Asset Forfeiture,Defendant,29
1996-06,Asset Forfeiture,Defendant,29
1996-07,Asset Forfeiture,Defendant,31
1996-08,Asset Forfeiture,Defendant,31
1996-09,Asset Forfeiture,Defendant,34
1996-10,Asset Forfeiture,Defendant,36
1996-11,Asset Forfeiture,Defendant,36
