ym,category,reason,declined
1995-06,ALL,Defendant Unavailable,327
1995-07,ALL,Defendant Unavailable,282
1995-08,ALL,Defendant Unavailable,335
1995-09,ALL,Defendant Unavailable,399
1995-10,ALL,Defendant Unavailable,319
1995-11,ALL,Defendant Unavailable,227
1995-12,ALL,Defendant Unavailable,221
1996-01,ALL,Defendant Unavailable,291
1996-02,ALL,Defendant Unavailable,288
1996-03,ALL,Defendant Unavailable,332
1996-04,ALL,Defendant Unavailable,305
1996-05,ALL,Defendant Unavailable,359
1996-06,ALL,Defendant Unavailable,507
1996-07,ALL,Defendant Unavailable,279
1996-08,ALL,Defendant Unavailable,282
1996-09,ALL,Defendant Unavailable,270
1996-10,ALL,Defendant Unavailable,285
1996-11,ALL,Defendant Unavailable,235
1996-12,ALL,Defendant Unavailable,288
1997-01,ALL,Defendant Unavailable,400
1997-02,ALL,Defendant Unavailable,234
1997-03,ALL,Defendant Unavailable,264
1997-04,ALL,Defendant Unavailable,276
1997-05,ALL,Defendant Unavailable,313
1997-06,ALL,Defendant Unavailable,315
1997-07,ALL,Defendant Unavailable,339
1997-08,ALL,Defendant Unavailable,272
1997-09,ALL,Defendant Unavailable,327
1997-10,ALL,Defendant Unavailable,250
1997-11,ALL,Defendant Unavailable,242
1997-12,ALL,Defendant Unavailable,236
1998-01,ALL,Defendant Unavailable,300
1998-02,ALL,Defendant Unavailable,394
1998-03,ALL,Defendant Unavailable,333
1998-04,ALL,Defendant Unavailable,293
1998-05,ALL,Defendant Unavailable,241
1998-06,ALL,Defendant Unavailable,317
1998-07,ALL,Defendant Unavailable,319
1998-08,ALL,Defendant Unavailable,288
1998-09,ALL,Defendant Unavailable,417
1998-10,ALL,Defendant Unavailable,302
1998-11,ALL,Defendant Unavailable,215
1998-12,ALL,Defendant Unavailable,221
1999-01,ALL,Defendant Unavailable,291
1999-02,ALL,Defendant Unavailable,255
1999-03,ALL,Defendant Unavailable,320
1999-04,ALL,Defendant Unavailable,304
1999-05,ALL,Defendant Unavailable,300
1999-06,ALL,Defendant Unavailable,336
1999-07,ALL,Defendant Unavailable,391
1999-08,ALL,Defendant Unavailable,352
1999-09,ALL,Defendant Unavailable,272
1999-10,ALL,Defendant Unavailable,239
1999-11,ALL,Defendant Unavailable,279
1999-12,ALL,Defendant Unavailable,244
2000-01,ALL,Defendant Unavailable,278
2000-02,ALL,Defendant Unavailable,298
2000-03,ALL,Defendant Unavailable,502
2000-04,ALL,Defendant Unavailable,279
2000-05,ALL,Defendant Unavailable,272
2000-06,ALL,Defendant Unavailable,271
2000-07,ALL,Defendant Unavailable,250
2000-08,ALL,Defendant Unavailable,280
2000-09,ALL,Defendant Unavailable,297
2000-10,ALL,Defendant Unavailable,323
2000-11,ALL,Defendant Unavailable,239
2000-12,ALL,Defendant Unavailable,211
2001-01,ALL,Defendant Unavailable,320
2001-02,ALL,Defendant Unavailable,315
2001-03,ALL,Defendant Unavailable,414
2001-04,ALL,Defendant Unavailable,311
2001-05,ALL,Defendant Unavailable,261
2001-06,ALL,Defendant Unavailable,269
2001-07,ALL,Defendant Unavailable,276
2001-08,ALL,Defendant Unavailable,332
2001-09,ALL,Defendant Unavailable,295
2001-10,ALL,Defendant Unavailable,276
2001-11,ALL,Defendant Unavailable,223
